Index,PubID,Result,Links
1,32816260,yes,https://pubmed.ncbi.nlm.nih.gov/32816260
2,36047541,yes,https://pubmed.ncbi.nlm.nih.gov/36047541
3,33295815,yes,https://pubmed.ncbi.nlm.nih.gov/33295815
4,31087408,yes,https://pubmed.ncbi.nlm.nih.gov/31087408
5,35445176,maybe,https://pubmed.ncbi.nlm.nih.gov/35445176
6,37543900,no,https://pubmed.ncbi.nlm.nih.gov/37543900
7,36524737,no,https://pubmed.ncbi.nlm.nih.gov/36524737
8,35855197,yes,https://pubmed.ncbi.nlm.nih.gov/35855197
9,31352554,yes,https://pubmed.ncbi.nlm.nih.gov/31352554
10,29768286,yes,https://pubmed.ncbi.nlm.nih.gov/29768286
11,34221643,yes,https://pubmed.ncbi.nlm.nih.gov/34221643
12,36409422,yes,https://pubmed.ncbi.nlm.nih.gov/36409422
13,35142103,yes,https://pubmed.ncbi.nlm.nih.gov/35142103
14,32096789,yes,https://pubmed.ncbi.nlm.nih.gov/32096789
15,32748294,maybe,https://pubmed.ncbi.nlm.nih.gov/32748294
16,32081573,yes,https://pubmed.ncbi.nlm.nih.gov/32081573
17,32101458,yes,https://pubmed.ncbi.nlm.nih.gov/32101458
18,33879660,no,https://pubmed.ncbi.nlm.nih.gov/33879660
19,31587961,yes,https://pubmed.ncbi.nlm.nih.gov/31587961
20,30607630,yes,https://pubmed.ncbi.nlm.nih.gov/30607630
21,37735939,no,https://pubmed.ncbi.nlm.nih.gov/37735939
22,35187043,yes,https://pubmed.ncbi.nlm.nih.gov/35187043
23,31486176,yes,https://pubmed.ncbi.nlm.nih.gov/31486176
24,30401890,yes,https://pubmed.ncbi.nlm.nih.gov/30401890
25,33650727,yes,https://pubmed.ncbi.nlm.nih.gov/33650727
26,37153030,no,https://pubmed.ncbi.nlm.nih.gov/37153030
