Index,PubID,Result,Links
1,37072094,no,https://pubmed.ncbi.nlm.nih.gov/37072094
2,34099604,no,https://pubmed.ncbi.nlm.nih.gov/34099604
3,33842025,no,https://pubmed.ncbi.nlm.nih.gov/33842025
4,31169362,yes,https://pubmed.ncbi.nlm.nih.gov/31169362
5,31864570,yes,https://pubmed.ncbi.nlm.nih.gov/31864570
6,36127925,no,https://pubmed.ncbi.nlm.nih.gov/36127925
7,36348684,no,https://pubmed.ncbi.nlm.nih.gov/36348684
8,33559550,no,https://pubmed.ncbi.nlm.nih.gov/33559550
9,35048167,yes,https://pubmed.ncbi.nlm.nih.gov/35048167
10,36288600,no,https://pubmed.ncbi.nlm.nih.gov/36288600
11,31421680,no,https://pubmed.ncbi.nlm.nih.gov/31421680
12,33891508,yes,https://pubmed.ncbi.nlm.nih.gov/33891508
13,35284148,no,https://pubmed.ncbi.nlm.nih.gov/35284148
14,30455493,maybe,https://pubmed.ncbi.nlm.nih.gov/30455493
15,35402154,yes,https://pubmed.ncbi.nlm.nih.gov/35402154
16,35772982,no,https://pubmed.ncbi.nlm.nih.gov/35772982
17,32390565,yes,https://pubmed.ncbi.nlm.nih.gov/32390565
18,32675598,no,https://pubmed.ncbi.nlm.nih.gov/32675598
19,36086984,no,https://pubmed.ncbi.nlm.nih.gov/36086984
20,31155167,no,https://pubmed.ncbi.nlm.nih.gov/31155167
21,33742649,yes,https://pubmed.ncbi.nlm.nih.gov/33742649
22,37583858,no,https://pubmed.ncbi.nlm.nih.gov/37583858
23,34703300,yes,https://pubmed.ncbi.nlm.nih.gov/34703300
24,31340948,no,https://pubmed.ncbi.nlm.nih.gov/31340948
25,36923606,no,https://pubmed.ncbi.nlm.nih.gov/36923606
26,34391238,no,https://pubmed.ncbi.nlm.nih.gov/34391238
27,34980976,no,https://pubmed.ncbi.nlm.nih.gov/34980976
28,34813438,yes,https://pubmed.ncbi.nlm.nih.gov/34813438
29,35103175,yes,https://pubmed.ncbi.nlm.nih.gov/35103175
30,32011555,no,https://pubmed.ncbi.nlm.nih.gov/32011555
31,36707831,no,https://pubmed.ncbi.nlm.nih.gov/36707831
32,34123643,yes,https://pubmed.ncbi.nlm.nih.gov/34123643
33,30624698,no,https://pubmed.ncbi.nlm.nih.gov/30624698
34,37362469,maybe,https://pubmed.ncbi.nlm.nih.gov/37362469
35,31088435,yes,https://pubmed.ncbi.nlm.nih.gov/31088435
