Index,PubID,Result,Links
1,32155645,no,https://pubmed.ncbi.nlm.nih.gov/32155645
2,34654968,yes,https://pubmed.ncbi.nlm.nih.gov/34654968
3,36328610,no,https://pubmed.ncbi.nlm.nih.gov/36328610
4,31552207,yes,https://pubmed.ncbi.nlm.nih.gov/31552207
5,30099108,no,https://pubmed.ncbi.nlm.nih.gov/30099108
6,34644520,yes,https://pubmed.ncbi.nlm.nih.gov/34644520
7,30384985,yes,https://pubmed.ncbi.nlm.nih.gov/30384985
8,35929629,no,https://pubmed.ncbi.nlm.nih.gov/35929629
9,31838477,yes,https://pubmed.ncbi.nlm.nih.gov/31838477
10,37527001,no,https://pubmed.ncbi.nlm.nih.gov/37527001
11,34274152,no,https://pubmed.ncbi.nlm.nih.gov/34274152
12,33771081,no,https://pubmed.ncbi.nlm.nih.gov/33771081
13,35209998,no,https://pubmed.ncbi.nlm.nih.gov/35209998
14,30771811,maybe,https://pubmed.ncbi.nlm.nih.gov/30771811
15,33958518,no,https://pubmed.ncbi.nlm.nih.gov/33958518
16,31126684,no,https://pubmed.ncbi.nlm.nih.gov/31126684
17,35125082,maybe,https://pubmed.ncbi.nlm.nih.gov/35125082
18,30143341,no,https://pubmed.ncbi.nlm.nih.gov/30143341
19,34024450,no,https://pubmed.ncbi.nlm.nih.gov/34024450
20,30771813,no,https://pubmed.ncbi.nlm.nih.gov/30771813
21,37368219,yes,https://pubmed.ncbi.nlm.nih.gov/37368219
22,30989465,yes,https://pubmed.ncbi.nlm.nih.gov/30989465
23,36572621,no,https://pubmed.ncbi.nlm.nih.gov/36572621
24,30172660,no,https://pubmed.ncbi.nlm.nih.gov/30172660
25,32855506,no,https://pubmed.ncbi.nlm.nih.gov/32855506
26,30771816,no,https://pubmed.ncbi.nlm.nih.gov/30771816
27,37295298,no,https://pubmed.ncbi.nlm.nih.gov/37295298
28,34469367,no,https://pubmed.ncbi.nlm.nih.gov/34469367
29,36142816,yes,https://pubmed.ncbi.nlm.nih.gov/36142816
30,36621416,no,https://pubmed.ncbi.nlm.nih.gov/36621416
31,35241991,no,https://pubmed.ncbi.nlm.nih.gov/35241991
32,32953856,no,https://pubmed.ncbi.nlm.nih.gov/32953856
33,31264395,no,https://pubmed.ncbi.nlm.nih.gov/31264395
34,31077334,no,https://pubmed.ncbi.nlm.nih.gov/31077334
35,30100524,no,https://pubmed.ncbi.nlm.nih.gov/30100524
36,31860703,no,https://pubmed.ncbi.nlm.nih.gov/31860703
37,32843076,no,https://pubmed.ncbi.nlm.nih.gov/32843076
38,32615312,no,https://pubmed.ncbi.nlm.nih.gov/32615312
39,33440455,no,https://pubmed.ncbi.nlm.nih.gov/33440455
40,37028265,yes,https://pubmed.ncbi.nlm.nih.gov/37028265
41,36068527,no,https://pubmed.ncbi.nlm.nih.gov/36068527
42,34626783,no,https://pubmed.ncbi.nlm.nih.gov/34626783
