Index,PubID,Result,Links
1,37780871,no,https://pubmed.ncbi.nlm.nih.gov/37780871
2,31033882,no,https://pubmed.ncbi.nlm.nih.gov/31033882
3,33067060,yes,https://pubmed.ncbi.nlm.nih.gov/33067060
4,31679201,no,https://pubmed.ncbi.nlm.nih.gov/31679201
5,31804206,no,https://pubmed.ncbi.nlm.nih.gov/31804206
6,32730234,yes,https://pubmed.ncbi.nlm.nih.gov/32730234
7,32449972,yes,https://pubmed.ncbi.nlm.nih.gov/32449972
8,32128062,yes,https://pubmed.ncbi.nlm.nih.gov/32128062
9,33256382,yes,https://pubmed.ncbi.nlm.nih.gov/33256382
10,33103720,no,https://pubmed.ncbi.nlm.nih.gov/33103720
11,31763461,yes,https://pubmed.ncbi.nlm.nih.gov/31763461
12,33442654,no,https://pubmed.ncbi.nlm.nih.gov/33442654
13,32825873,yes,https://pubmed.ncbi.nlm.nih.gov/32825873
14,33043318,no,https://pubmed.ncbi.nlm.nih.gov/33043318
15,32317402,yes,https://pubmed.ncbi.nlm.nih.gov/32317402
16,33647552,no,https://pubmed.ncbi.nlm.nih.gov/33647552
17,30242640,yes,https://pubmed.ncbi.nlm.nih.gov/30242640
18,37854527,no,https://pubmed.ncbi.nlm.nih.gov/37854527
19,32959497,no,https://pubmed.ncbi.nlm.nih.gov/32959497
20,31863551,no,https://pubmed.ncbi.nlm.nih.gov/31863551
21,37899079,maybe,https://pubmed.ncbi.nlm.nih.gov/37899079
22,33315310,no,https://pubmed.ncbi.nlm.nih.gov/33315310
23,34461005,no,https://pubmed.ncbi.nlm.nih.gov/34461005
