Index,PubID,Result,Links
1,34236819,yes,https://pubmed.ncbi.nlm.nih.gov/34236819
2,35787766,yes,https://pubmed.ncbi.nlm.nih.gov/35787766
3,30916532,yes,https://pubmed.ncbi.nlm.nih.gov/30916532
4,37817194,yes,https://pubmed.ncbi.nlm.nih.gov/37817194
5,34384685,maybe,https://pubmed.ncbi.nlm.nih.gov/34384685
6,36229974,yes,https://pubmed.ncbi.nlm.nih.gov/36229974
7,33730864,no,https://pubmed.ncbi.nlm.nih.gov/33730864
8,35099028,yes,https://pubmed.ncbi.nlm.nih.gov/35099028
9,32725668,yes,https://pubmed.ncbi.nlm.nih.gov/32725668
10,30455143,yes,https://pubmed.ncbi.nlm.nih.gov/30455143
11,34962463,yes,https://pubmed.ncbi.nlm.nih.gov/34962463
12,32439394,yes,https://pubmed.ncbi.nlm.nih.gov/32439394
13,32726204,no,https://pubmed.ncbi.nlm.nih.gov/32726204
14,30165237,no,https://pubmed.ncbi.nlm.nih.gov/30165237
