Index,PubID,Result
1,33762733,yes
2,34619251,no
3,33227350,no
4,36558421,no
5,35035378,yes
6,31992948,no
7,35347088,no
8,30890750,no
9,30602573,no
10,30218427,no
11,36998141,yes
12,34046927,no
13,37125245,yes
14,30908822,no
15,33528280,yes
16,34231100,yes
17,31199920,no
18,33984016,no
19,30957702,yes
20,33393329,no
21,33590677,no
22,31071367,no
23,34522873,maybe
24,33642355,yes
25,31803945,no
26,34297981,no
27,32198057,no
28,30935688,yes
29,32356496,no
30,31542739,no
31,37609656,no
32,31362807,no
33,34000056,no
34,32476788,no
35,33892972,no
36,32955203,no
37,31611038,no
38,37420236,yes
39,31533893,no
40,37374049,no
41,35676183,no
42,31668391,no
