Index,PubID,Result,Links,ID,Summary,History,input_text
2,34654968,yes,https://pubmed.ncbi.nlm.nih.gov/34654968,34654968,"Ultrasound has proved to be a useful modality for enhancing the diagnostic accuracy of necrotizing enterocolitis and associated complications. The standard imaging algorithm for evaluating necrotizing enterocolitis includes radiographs and clinical symptoms, the combination of which constitutes the Bell criteria. Major limitations of using the Bell criteria for diagnosing and clinically managing necrotizing enterocolitis include low diagnostic accuracy of radiographs and nonspecific symptomatology of preterm infants. In this regard, US can offer additional insights into bowel health by helping to characterize bowel motility, echogenicity, thickness, pneumatosis and perfusion. Extramural findings such as portal venous gas, nature and extent of ascites, and pneumoperitoneum can also be assessed. Recently, contrast-enhanced US was explored in a case series of preterm bowel disease and its diagnostic utility warrants further investigation. This article reviews the US features of necrotizing enterocolitis and highlights the role of US as a complement to radiographs, as well as the emerging use of contrast-enhanced US in necrotizing enterocolitis.","A 12 @-@ day @-@ old male born at 33 weeks becomes letharg and hypothermic over the course of 24 h . He is not toler ating his formula feeds , has two episodes bil emesis , and has three episodes of bloody diarrhea . Physical reveals abdominal , visible loops of bowel , abdominal erythema , and absent bowel sounds .","Is this patient history: A 12 @-@ day @-@ old male born at 33 weeks becomes letharg and hypothermic over the course of 24 h . He is not toler ating his formula feeds , has two episodes bil emesis , and has three episodes of bloody diarrhea . Physical reveals abdominal , visible loops of bowel , abdominal erythema , and absent bowel sounds .related to abstract: Ultrasound has proved to be a useful modality for enhancing the diagnostic accuracy of necrotizing enterocolitis and associated complications. The standard imaging algorithm for evaluating necrotizing enterocolitis includes radiographs and clinical symptoms, the combination of which constitutes the Bell criteria. Major limitations of using the Bell criteria for diagnosing and clinically managing necrotizing enterocolitis include low diagnostic accuracy of radiographs and nonspecific symptomatology of preterm infants. In this regard, US can offer additional insights into bowel health by helping to characterize bowel motility, echogenicity, thickness, pneumatosis and perfusion. Extramural findings such as portal venous gas, nature and extent of ascites, and pneumoperitoneum can also be assessed. Recently, contrast-enhanced US was explored in a case series of preterm bowel disease and its diagnostic utility warrants further investigation. This article reviews the US features of necrotizing enterocolitis and highlights the role of US as a complement to radiographs, as well as the emerging use of contrast-enhanced US in necrotizing enterocolitis."
4,31552207,yes,https://pubmed.ncbi.nlm.nih.gov/31552207,31552207,"Small intestinal bacterial overgrowth (SIBO) is a heterogenous and poorly understood entity characterised by an excessive growth of select microorganisms within the small intestine. This excessive bacterial biomass, in turn, disrupts host physiology in a myriad of ways, leading to gastrointestinal and non-gastrointestinal symptoms and complications. SIBO is a common cause of non-specific gastrointestinal symptoms in children, such as chronic abdominal pain, abdominal distention, diarrhoea, and flatulence, amongst others. In addition, it has recently been implicated in the pathophysiology of stunting, a disease that affects millions of children worldwide. Risk factors such as acid-suppressive therapies, alterations in gastrointestinal motility and anatomy, as well as impoverished conditions, have been shown to predispose children to SIBO. SIBO can be diagnosed via culture-dependant or culture-independent approaches. SIBO's epidemiology is limited due to the lack of uniformity and consensus of its diagnostic criteria, as well as the paucity of literature available. Antibiotics remain the first-line treatment option for SIBO, although emerging modalities such as probiotics and diet manipulation could also have a role. Herein, we present a state-of-the-art-review which aims to comprehensively outline the most current information on SIBO in children, with particular emphasis on the gut microbiota.","A 12 @-@ day @-@ old male born at 33 weeks becomes letharg and hypothermic over the course of 24 h . He is not toler ating his formula feeds , has two episodes bil emesis , and has three episodes of bloody diarrhea . Physical reveals abdominal , visible loops of bowel , abdominal erythema , and absent bowel sounds .","Is this patient history: A 12 @-@ day @-@ old male born at 33 weeks becomes letharg and hypothermic over the course of 24 h . He is not toler ating his formula feeds , has two episodes bil emesis , and has three episodes of bloody diarrhea . Physical reveals abdominal , visible loops of bowel , abdominal erythema , and absent bowel sounds .related to abstract: Small intestinal bacterial overgrowth (SIBO) is a heterogenous and poorly understood entity characterised by an excessive growth of select microorganisms within the small intestine. This excessive bacterial biomass, in turn, disrupts host physiology in a myriad of ways, leading to gastrointestinal and non-gastrointestinal symptoms and complications. SIBO is a common cause of non-specific gastrointestinal symptoms in children, such as chronic abdominal pain, abdominal distention, diarrhoea, and flatulence, amongst others. In addition, it has recently been implicated in the pathophysiology of stunting, a disease that affects millions of children worldwide. Risk factors such as acid-suppressive therapies, alterations in gastrointestinal motility and anatomy, as well as impoverished conditions, have been shown to predispose children to SIBO. SIBO can be diagnosed via culture-dependant or culture-independent approaches. SIBO's epidemiology is limited due to the lack of uniformity and consensus of its diagnostic criteria, as well as the paucity of literature available. Antibiotics remain the first-line treatment option for SIBO, although emerging modalities such as probiotics and diet manipulation could also have a role. Herein, we present a state-of-the-art-review which aims to comprehensively outline the most current information on SIBO in children, with particular emphasis on the gut microbiota."
6,34644520,yes,https://pubmed.ncbi.nlm.nih.gov/34644520,34644520,"Bronchopulmonary dysplasia (BPD) is a debilitating disease in premature infants resulting from lung injury that disrupts alveolar and pulmonary vascular development. Despite the use of lung-protective ventilation and targeted oxygen therapy, BPD rates have not significantly changed over the last decade. Recent evidence suggests that sepsis and conditions initiating the systemic inflammatory response syndrome in preterm infants are key risk factors for BPD. However, the mechanisms by which sepsis-associated systemic inflammation and microbial dissemination program aberrant lung development are not fully understood. Progress has been made within the last 5 years with the inception of animal models allowing mechanistic investigations into neonatal acute lung injury and alveolar remodeling attributable to endotoxemia and necrotizing enterocolitis. These recent studies begin to unravel the pathophysiology of early endothelial immune activation via pattern recognition receptors such as Toll-like receptor 4 and disruption of critical lung developmental processes such as angiogenesis, extracellular matrix deposition, and ultimately alveologenesis. Here we review scientific evidence from preclinical models of neonatal sepsis-induced lung injury to new data emerging from clinical literature.","A 12 @-@ day @-@ old male born at 33 weeks becomes letharg and hypothermic over the course of 24 h . He is not toler ating his formula feeds , has two episodes bil emesis , and has three episodes of bloody diarrhea . Physical reveals abdominal , visible loops of bowel , abdominal erythema , and absent bowel sounds .","Is this patient history: A 12 @-@ day @-@ old male born at 33 weeks becomes letharg and hypothermic over the course of 24 h . He is not toler ating his formula feeds , has two episodes bil emesis , and has three episodes of bloody diarrhea . Physical reveals abdominal , visible loops of bowel , abdominal erythema , and absent bowel sounds .related to abstract: Bronchopulmonary dysplasia (BPD) is a debilitating disease in premature infants resulting from lung injury that disrupts alveolar and pulmonary vascular development. Despite the use of lung-protective ventilation and targeted oxygen therapy, BPD rates have not significantly changed over the last decade. Recent evidence suggests that sepsis and conditions initiating the systemic inflammatory response syndrome in preterm infants are key risk factors for BPD. However, the mechanisms by which sepsis-associated systemic inflammation and microbial dissemination program aberrant lung development are not fully understood. Progress has been made within the last 5 years with the inception of animal models allowing mechanistic investigations into neonatal acute lung injury and alveolar remodeling attributable to endotoxemia and necrotizing enterocolitis. These recent studies begin to unravel the pathophysiology of early endothelial immune activation via pattern recognition receptors such as Toll-like receptor 4 and disruption of critical lung developmental processes such as angiogenesis, extracellular matrix deposition, and ultimately alveologenesis. Here we review scientific evidence from preclinical models of neonatal sepsis-induced lung injury to new data emerging from clinical literature."
7,30384985,yes,https://pubmed.ncbi.nlm.nih.gov/30384985,30384985,"The past decade of neonatal care has been highlighted by increased survival rates in smaller and more premature infants. Despite reduction in mortality associated with extreme prematurity, long term pulmonary morbidities remain a concern, with growing recognition of the clinical burden attributable to infants with bronchopulmonary dysplasia (BPD) -associated pulmonary hypertension (PH). Recent publications shed light on the critical contributions of maternal placental pathology and compromised intrauterine growth to fetal pulmonary vascular development. A body of literature has further clarified postnatal risk factors for PH, most notably the severity of BPD but surprisingly the additional presence of non-pulmonary morbidities including necrotizing enterocolitis (NEC). Limitations of current diagnostics persist with growing consideration of novel echocardiographic approaches as well as complementary non-invasive biomarkers to better identify infants at risk. In 2015, a joint report published by the American Heart Association and American Thoracic Society provided the first guidelines for the care of children with PH with limited content to address BPD-associated PH. These guidelines were expanded upon in an expert consensus report produced by the Pediatric Pulmonary Hypertension Network (PPHNet). These recommendations encouraged the use of standardized screening protocols and emphasized the importance of evaluation and treatment of comorbidities when PH is identified. Cardiac catheterization was recommended prior to initiation of therapy for more accurate quantification of pulmonary pressures, clarification of anatomy and guidance in the use of pharmacotherapy. Despite these guidelines, significant practice variation persists and gaps remain with respect to optimal evaluation and management of BPD-associated PH.","A 12 @-@ day @-@ old male born at 33 weeks becomes letharg and hypothermic over the course of 24 h . He is not toler ating his formula feeds , has two episodes bil emesis , and has three episodes of bloody diarrhea . Physical reveals abdominal , visible loops of bowel , abdominal erythema , and absent bowel sounds .","Is this patient history: A 12 @-@ day @-@ old male born at 33 weeks becomes letharg and hypothermic over the course of 24 h . He is not toler ating his formula feeds , has two episodes bil emesis , and has three episodes of bloody diarrhea . Physical reveals abdominal , visible loops of bowel , abdominal erythema , and absent bowel sounds .related to abstract: The past decade of neonatal care has been highlighted by increased survival rates in smaller and more premature infants. Despite reduction in mortality associated with extreme prematurity, long term pulmonary morbidities remain a concern, with growing recognition of the clinical burden attributable to infants with bronchopulmonary dysplasia (BPD) -associated pulmonary hypertension (PH). Recent publications shed light on the critical contributions of maternal placental pathology and compromised intrauterine growth to fetal pulmonary vascular development. A body of literature has further clarified postnatal risk factors for PH, most notably the severity of BPD but surprisingly the additional presence of non-pulmonary morbidities including necrotizing enterocolitis (NEC). Limitations of current diagnostics persist with growing consideration of novel echocardiographic approaches as well as complementary non-invasive biomarkers to better identify infants at risk. In 2015, a joint report published by the American Heart Association and American Thoracic Society provided the first guidelines for the care of children with PH with limited content to address BPD-associated PH. These guidelines were expanded upon in an expert consensus report produced by the Pediatric Pulmonary Hypertension Network (PPHNet). These recommendations encouraged the use of standardized screening protocols and emphasized the importance of evaluation and treatment of comorbidities when PH is identified. Cardiac catheterization was recommended prior to initiation of therapy for more accurate quantification of pulmonary pressures, clarification of anatomy and guidance in the use of pharmacotherapy. Despite these guidelines, significant practice variation persists and gaps remain with respect to optimal evaluation and management of BPD-associated PH."
9,31838477,yes,https://pubmed.ncbi.nlm.nih.gov/31838477,31838477,"Necrotizing enterocolitis (NEC) remains a major cause for neonatal mortality and morbidity in preterm infants. The purpose of this review was to summarize evidence from systematic reviews of randomized-controlled trials (RCTs) regarding antenatal and postnatal interventions for preventing NEC. PubMed, EMBASE, the Cochrane Library Databases, Database of Abstracts of Reviews of Effects, and Campbell Library were searched for meta-analyses in which NEC was reported as an outcome after antenatal or postnatal strategies. The AMSTAR instrument was used to evaluate quality of included reviews. Grading of Recommendations, Assessment, Development and Evaluation assessment was used to evaluate certainty of evidence. We identified 98 meta-analyses of RCTs. The quality of included reviews was adequate, whereas the certainty of evidence was moderate to very low. Moderate certainty evidence showed a reduction in NEC following administration of a combination of species of probiotics, probiotics (any), antenatal corticosteroids in pregnant women at risk of preterm birth, and ibuprofen versus indomethacin for treatment of patent ductus arteriosus (PDA). For surgical NEC, moderate certainty evidence showed an increased risk with lower (85-89%) oxygen saturation target levels, compared with higher (91-95%) oxygen saturation target levels. In conclusion, decreased risk of NEC is observed with probiotics, antenatal corticosteroids for women at risk of preterm birth, and ibuprofen versus indomethacin for treatment of PDA. Targeting lower oxygen saturations may increase the risk of surgical NEC, compared to targeting higher saturations.","A 12 @-@ day @-@ old male born at 33 weeks becomes letharg and hypothermic over the course of 24 h . He is not toler ating his formula feeds , has two episodes bil emesis , and has three episodes of bloody diarrhea . Physical reveals abdominal , visible loops of bowel , abdominal erythema , and absent bowel sounds .","Is this patient history: A 12 @-@ day @-@ old male born at 33 weeks becomes letharg and hypothermic over the course of 24 h . He is not toler ating his formula feeds , has two episodes bil emesis , and has three episodes of bloody diarrhea . Physical reveals abdominal , visible loops of bowel , abdominal erythema , and absent bowel sounds .related to abstract: Necrotizing enterocolitis (NEC) remains a major cause for neonatal mortality and morbidity in preterm infants. The purpose of this review was to summarize evidence from systematic reviews of randomized-controlled trials (RCTs) regarding antenatal and postnatal interventions for preventing NEC. PubMed, EMBASE, the Cochrane Library Databases, Database of Abstracts of Reviews of Effects, and Campbell Library were searched for meta-analyses in which NEC was reported as an outcome after antenatal or postnatal strategies. The AMSTAR instrument was used to evaluate quality of included reviews. Grading of Recommendations, Assessment, Development and Evaluation assessment was used to evaluate certainty of evidence. We identified 98 meta-analyses of RCTs. The quality of included reviews was adequate, whereas the certainty of evidence was moderate to very low. Moderate certainty evidence showed a reduction in NEC following administration of a combination of species of probiotics, probiotics (any), antenatal corticosteroids in pregnant women at risk of preterm birth, and ibuprofen versus indomethacin for treatment of patent ductus arteriosus (PDA). For surgical NEC, moderate certainty evidence showed an increased risk with lower (85-89%) oxygen saturation target levels, compared with higher (91-95%) oxygen saturation target levels. In conclusion, decreased risk of NEC is observed with probiotics, antenatal corticosteroids for women at risk of preterm birth, and ibuprofen versus indomethacin for treatment of PDA. Targeting lower oxygen saturations may increase the risk of surgical NEC, compared to targeting higher saturations."
14,30771811,maybe,https://pubmed.ncbi.nlm.nih.gov/30771811,30771811,"Necrotizing enterocolitis (NEC) is a devastating disease of prematurity, with no current method for early diagnosis. Diagnosis is particularly challenging, frequently occurring after the disease has progressed to the point of significant and often irreversible intestinal damage. Biomarker research has tremendous potential to advance clinical management of NEC and our understanding of its pathogenesis. This review discusses the need for novel biomarkers in NEC management, evaluates studies investigating such biomarkers, and explains the difficulties associated with translating biomarker discovery into clinical use.","A 12 @-@ day @-@ old male born at 33 weeks becomes letharg and hypothermic over the course of 24 h . He is not toler ating his formula feeds , has two episodes bil emesis , and has three episodes of bloody diarrhea . Physical reveals abdominal , visible loops of bowel , abdominal erythema , and absent bowel sounds .","Is this patient history: A 12 @-@ day @-@ old male born at 33 weeks becomes letharg and hypothermic over the course of 24 h . He is not toler ating his formula feeds , has two episodes bil emesis , and has three episodes of bloody diarrhea . Physical reveals abdominal , visible loops of bowel , abdominal erythema , and absent bowel sounds .related to abstract: Necrotizing enterocolitis (NEC) is a devastating disease of prematurity, with no current method for early diagnosis. Diagnosis is particularly challenging, frequently occurring after the disease has progressed to the point of significant and often irreversible intestinal damage. Biomarker research has tremendous potential to advance clinical management of NEC and our understanding of its pathogenesis. This review discusses the need for novel biomarkers in NEC management, evaluates studies investigating such biomarkers, and explains the difficulties associated with translating biomarker discovery into clinical use."
17,35125082,maybe,https://pubmed.ncbi.nlm.nih.gov/35125082,35125082,"Necrotizing enterocolitis (NEC) is an inflammatory bowel necrosis seen in premature infants. Although the etiopathogenesis of NEC is unclear, genetic factors may alter a patient's susceptibility, clinical course, and outcomes. This review draws from existing studies focused on individual genes and others based on microarray-based high-throughput discovery techniques. We have included evidence from our own studies and from an extensive literature search in the databases PubMed, EMBASE, and Scopus. To avoid bias in the identification of studies, keywords were short-listed a priori from anecdotal experience and PubMed's Medical Subject Heading (MeSH) thesaurus.","A 12 @-@ day @-@ old male born at 33 weeks becomes letharg and hypothermic over the course of 24 h . He is not toler ating his formula feeds , has two episodes bil emesis , and has three episodes of bloody diarrhea . Physical reveals abdominal , visible loops of bowel , abdominal erythema , and absent bowel sounds .","Is this patient history: A 12 @-@ day @-@ old male born at 33 weeks becomes letharg and hypothermic over the course of 24 h . He is not toler ating his formula feeds , has two episodes bil emesis , and has three episodes of bloody diarrhea . Physical reveals abdominal , visible loops of bowel , abdominal erythema , and absent bowel sounds .related to abstract: Necrotizing enterocolitis (NEC) is an inflammatory bowel necrosis seen in premature infants. Although the etiopathogenesis of NEC is unclear, genetic factors may alter a patient's susceptibility, clinical course, and outcomes. This review draws from existing studies focused on individual genes and others based on microarray-based high-throughput discovery techniques. We have included evidence from our own studies and from an extensive literature search in the databases PubMed, EMBASE, and Scopus. To avoid bias in the identification of studies, keywords were short-listed a priori from anecdotal experience and PubMed's Medical Subject Heading (MeSH) thesaurus."
21,37368219,yes,https://pubmed.ncbi.nlm.nih.gov/37368219,37368219,"Chronic diarrhea in children is challenging both with regards to etiological diagnosis and for management. Etiology and pathophysiological mechanisms vary widely from neonates to adolescents. Congenital or genetic causes are more frequent in neonates, while infections, allergy and immune-mediated mechanisms are more frequent in childhood. A thorough history and proper physical examination are required to decide for further diagnostic evaluation. The approach to a child with chronic diarrhea should be age specific and based predominantly on the pathophysiological mechanism involved. The nature of the stool like watery, bloody or fatty (steatorrhea) can suggest the probable etiology and organ system involved. After routine tests, evaluation with specific serological tests, imaging, endoscopy (gastroscopy / colonoscopy), histopathology of intestinal mucosa, breath tests or radionuclide imaging may be required to make a definitive diagnosis. Genetic evaluation is important in congenital diarrheas, monogenic inflammatory bowel disease (IBD) and immunodeficiency disorders. Management is aimed at stabilization, nutritional support and etiology specific treatment. Specific therapy can be as simple as exclusion of specific nutrient or as complicated as small bowel transplant. Evaluation and management require expertise and thus patients need to be referred in a timely fashion. This will minimise morbidity including nutritional consequences and improve outcome.","A 12 @-@ day @-@ old male born at 33 weeks becomes letharg and hypothermic over the course of 24 h . He is not toler ating his formula feeds , has two episodes bil emesis , and has three episodes of bloody diarrhea . Physical reveals abdominal , visible loops of bowel , abdominal erythema , and absent bowel sounds .","Is this patient history: A 12 @-@ day @-@ old male born at 33 weeks becomes letharg and hypothermic over the course of 24 h . He is not toler ating his formula feeds , has two episodes bil emesis , and has three episodes of bloody diarrhea . Physical reveals abdominal , visible loops of bowel , abdominal erythema , and absent bowel sounds .related to abstract: Chronic diarrhea in children is challenging both with regards to etiological diagnosis and for management. Etiology and pathophysiological mechanisms vary widely from neonates to adolescents. Congenital or genetic causes are more frequent in neonates, while infections, allergy and immune-mediated mechanisms are more frequent in childhood. A thorough history and proper physical examination are required to decide for further diagnostic evaluation. The approach to a child with chronic diarrhea should be age specific and based predominantly on the pathophysiological mechanism involved. The nature of the stool like watery, bloody or fatty (steatorrhea) can suggest the probable etiology and organ system involved. After routine tests, evaluation with specific serological tests, imaging, endoscopy (gastroscopy / colonoscopy), histopathology of intestinal mucosa, breath tests or radionuclide imaging may be required to make a definitive diagnosis. Genetic evaluation is important in congenital diarrheas, monogenic inflammatory bowel disease (IBD) and immunodeficiency disorders. Management is aimed at stabilization, nutritional support and etiology specific treatment. Specific therapy can be as simple as exclusion of specific nutrient or as complicated as small bowel transplant. Evaluation and management require expertise and thus patients need to be referred in a timely fashion. This will minimise morbidity including nutritional consequences and improve outcome."
22,30989465,yes,https://pubmed.ncbi.nlm.nih.gov/30989465,30989465,"Necrotizing enterocolitis (NEC) is one of the most severe diseases of preterm neonates and has a high mortality rate. With the development of inspection techniques and new biomarkers, the diagnostic accuracy of NEC is constantly improving. The most recognized potential risk factors include prematurity, formula-feeding, infection, and microbial dysbiosis. With further understanding of the pathogenesis, more effective prevention and therapies will be applied to clinical or experimental NEC. At present, such new potential prevention and therapies for NEC are mainly focused on the Toll-like receptor 4 inflammatory signaling pathway, the repair of intestinal barrier function, probiotics, antioxidative stress, breast-feeding, and immunomodulatory agents. Many new studies have changed our understanding of the pathogenesis of NEC and improve our approaches for preventing and treating of NEC each year. This review provides an overview of the recent researches focused on clinical or experimental NEC and highlights the advances made within the past 5 years toward the development of new potential preventive approaches and therapies for this disease.","A 12 @-@ day @-@ old male born at 33 weeks becomes letharg and hypothermic over the course of 24 h . He is not toler ating his formula feeds , has two episodes bil emesis , and has three episodes of bloody diarrhea . Physical reveals abdominal , visible loops of bowel , abdominal erythema , and absent bowel sounds .","Is this patient history: A 12 @-@ day @-@ old male born at 33 weeks becomes letharg and hypothermic over the course of 24 h . He is not toler ating his formula feeds , has two episodes bil emesis , and has three episodes of bloody diarrhea . Physical reveals abdominal , visible loops of bowel , abdominal erythema , and absent bowel sounds .related to abstract: Necrotizing enterocolitis (NEC) is one of the most severe diseases of preterm neonates and has a high mortality rate. With the development of inspection techniques and new biomarkers, the diagnostic accuracy of NEC is constantly improving. The most recognized potential risk factors include prematurity, formula-feeding, infection, and microbial dysbiosis. With further understanding of the pathogenesis, more effective prevention and therapies will be applied to clinical or experimental NEC. At present, such new potential prevention and therapies for NEC are mainly focused on the Toll-like receptor 4 inflammatory signaling pathway, the repair of intestinal barrier function, probiotics, antioxidative stress, breast-feeding, and immunomodulatory agents. Many new studies have changed our understanding of the pathogenesis of NEC and improve our approaches for preventing and treating of NEC each year. This review provides an overview of the recent researches focused on clinical or experimental NEC and highlights the advances made within the past 5 years toward the development of new potential preventive approaches and therapies for this disease."
29,36142816,yes,https://pubmed.ncbi.nlm.nih.gov/36142816,36142816,"Necrotizing enterocolitis (NEC) is a leading cause of mortality in premature infants. However, the pathophysiology and influence of regulatory T cells (Tregs) have not been sufficiently elucidated. We performed a scoping review to investigate current knowledge on the influence of Tregs in NEC, and to investigate the predictive value of Treg number in NEC development. Pubmed, Embase, Prospero and Cochrane Library were searched during December 2020. Primary research articles discussing Tregs and NEC development written in English were selected. Two reviewers screened title and abstract for relevance, after which full-text screening was performed. A total of 20 articles were selected-13 of the articles discussed studies performed in animal models, while 8 used human neonate data. One study discussed both animal and human data. It was shown that after NEC diagnosis or induction, Treg levels were decreased while Th17 levels were increased. no studies were found which investigated the predictive value of Treg number in NEC development. A reduced Treg level is found in animals and neonates with NEC. The question remains whether this effect is a factor on the causal pathway of NEC development or a bystander effect. Future research focusing on the pathophysiological timeline of NEC and the involvement of Tregs is required for better understanding of this disease.","A 12 @-@ day @-@ old male born at 33 weeks becomes letharg and hypothermic over the course of 24 h . He is not toler ating his formula feeds , has two episodes bil emesis , and has three episodes of bloody diarrhea . Physical reveals abdominal , visible loops of bowel , abdominal erythema , and absent bowel sounds .","Is this patient history: A 12 @-@ day @-@ old male born at 33 weeks becomes letharg and hypothermic over the course of 24 h . He is not toler ating his formula feeds , has two episodes bil emesis , and has three episodes of bloody diarrhea . Physical reveals abdominal , visible loops of bowel , abdominal erythema , and absent bowel sounds .related to abstract: Necrotizing enterocolitis (NEC) is a leading cause of mortality in premature infants. However, the pathophysiology and influence of regulatory T cells (Tregs) have not been sufficiently elucidated. We performed a scoping review to investigate current knowledge on the influence of Tregs in NEC, and to investigate the predictive value of Treg number in NEC development. Pubmed, Embase, Prospero and Cochrane Library were searched during December 2020. Primary research articles discussing Tregs and NEC development written in English were selected. Two reviewers screened title and abstract for relevance, after which full-text screening was performed. A total of 20 articles were selected-13 of the articles discussed studies performed in animal models, while 8 used human neonate data. One study discussed both animal and human data. It was shown that after NEC diagnosis or induction, Treg levels were decreased while Th17 levels were increased. no studies were found which investigated the predictive value of Treg number in NEC development. A reduced Treg level is found in animals and neonates with NEC. The question remains whether this effect is a factor on the causal pathway of NEC development or a bystander effect. Future research focusing on the pathophysiological timeline of NEC and the involvement of Tregs is required for better understanding of this disease."
