Index,PubID,Result,Links
1,34707048,yes,https://pubmed.ncbi.nlm.nih.gov/34707048
2,32398569,yes,https://pubmed.ncbi.nlm.nih.gov/32398569
3,31491072,no,https://pubmed.ncbi.nlm.nih.gov/31491072
4,37780871,yes,https://pubmed.ncbi.nlm.nih.gov/37780871
5,32317601,yes,https://pubmed.ncbi.nlm.nih.gov/32317601
6,31033882,no,https://pubmed.ncbi.nlm.nih.gov/31033882
7,33067060,yes,https://pubmed.ncbi.nlm.nih.gov/33067060
8,32970368,yes,https://pubmed.ncbi.nlm.nih.gov/32970368
9,32586724,no,https://pubmed.ncbi.nlm.nih.gov/32586724
10,31679201,yes,https://pubmed.ncbi.nlm.nih.gov/31679201
11,34130236,no,https://pubmed.ncbi.nlm.nih.gov/34130236
12,31627214,yes,https://pubmed.ncbi.nlm.nih.gov/31627214
13,31804206,yes,https://pubmed.ncbi.nlm.nih.gov/31804206
14,34637995,yes,https://pubmed.ncbi.nlm.nih.gov/34637995
15,32730234,yes,https://pubmed.ncbi.nlm.nih.gov/32730234
16,32449972,no,https://pubmed.ncbi.nlm.nih.gov/32449972
17,32128062,no,https://pubmed.ncbi.nlm.nih.gov/32128062
18,34620968,no,https://pubmed.ncbi.nlm.nih.gov/34620968
19,33256382,yes,https://pubmed.ncbi.nlm.nih.gov/33256382
20,37363457,yes,https://pubmed.ncbi.nlm.nih.gov/37363457
21,33103720,no,https://pubmed.ncbi.nlm.nih.gov/33103720
22,33198954,yes,https://pubmed.ncbi.nlm.nih.gov/33198954
23,35981365,no,https://pubmed.ncbi.nlm.nih.gov/35981365
24,31763461,no,https://pubmed.ncbi.nlm.nih.gov/31763461
25,33335817,yes,https://pubmed.ncbi.nlm.nih.gov/33335817
26,37593533,no,https://pubmed.ncbi.nlm.nih.gov/37593533
27,32860649,yes,https://pubmed.ncbi.nlm.nih.gov/32860649
28,37529801,yes,https://pubmed.ncbi.nlm.nih.gov/37529801
29,33505740,yes,https://pubmed.ncbi.nlm.nih.gov/33505740
30,33442654,yes,https://pubmed.ncbi.nlm.nih.gov/33442654
31,32825873,maybe,https://pubmed.ncbi.nlm.nih.gov/32825873
32,33815967,yes,https://pubmed.ncbi.nlm.nih.gov/33815967
33,33043318,yes,https://pubmed.ncbi.nlm.nih.gov/33043318
34,32591180,yes,https://pubmed.ncbi.nlm.nih.gov/32591180
35,34926047,yes,https://pubmed.ncbi.nlm.nih.gov/34926047
37,32317402,no,https://pubmed.ncbi.nlm.nih.gov/32317402
38,33230093,yes,https://pubmed.ncbi.nlm.nih.gov/33230093
39,30732704,no,https://pubmed.ncbi.nlm.nih.gov/30732704
40,33647552,yes,https://pubmed.ncbi.nlm.nih.gov/33647552
41,34626477,yes,https://pubmed.ncbi.nlm.nih.gov/34626477
42,35712335,yes,https://pubmed.ncbi.nlm.nih.gov/35712335
43,30242640,yes,https://pubmed.ncbi.nlm.nih.gov/30242640
44,37483750,no,https://pubmed.ncbi.nlm.nih.gov/37483750
45,32963897,yes,https://pubmed.ncbi.nlm.nih.gov/32963897
46,37854527,yes,https://pubmed.ncbi.nlm.nih.gov/37854527
47,32414522,yes,https://pubmed.ncbi.nlm.nih.gov/32414522
48,32333431,no,https://pubmed.ncbi.nlm.nih.gov/32333431
49,32959497,yes,https://pubmed.ncbi.nlm.nih.gov/32959497
50,34903428,no,https://pubmed.ncbi.nlm.nih.gov/34903428
51,31863551,no,https://pubmed.ncbi.nlm.nih.gov/31863551
52,37899079,yes,https://pubmed.ncbi.nlm.nih.gov/37899079
53,34256898,yes,https://pubmed.ncbi.nlm.nih.gov/34256898
54,32149364,no,https://pubmed.ncbi.nlm.nih.gov/32149364
55,32354634,yes,https://pubmed.ncbi.nlm.nih.gov/32354634
56,33315310,yes,https://pubmed.ncbi.nlm.nih.gov/33315310
57,37731425,yes,https://pubmed.ncbi.nlm.nih.gov/37731425
58,34461005,yes,https://pubmed.ncbi.nlm.nih.gov/34461005
