Index,PubID,Result,Links
1,31466661,yes,https://pubmed.ncbi.nlm.nih.gov/31466661
2,36934655,no,https://pubmed.ncbi.nlm.nih.gov/36934655
3,32354316,no,https://pubmed.ncbi.nlm.nih.gov/32354316
4,31425335,maybe,https://pubmed.ncbi.nlm.nih.gov/31425335
5,34176365,yes,https://pubmed.ncbi.nlm.nih.gov/34176365
6,36496339,yes,https://pubmed.ncbi.nlm.nih.gov/36496339
7,30849068,no,https://pubmed.ncbi.nlm.nih.gov/30849068
8,34111983,no,https://pubmed.ncbi.nlm.nih.gov/34111983
9,31402520,no,https://pubmed.ncbi.nlm.nih.gov/31402520
10,32544036,no,https://pubmed.ncbi.nlm.nih.gov/32544036
11,36159439,no,https://pubmed.ncbi.nlm.nih.gov/36159439
12,35797610,no,https://pubmed.ncbi.nlm.nih.gov/35797610
13,35051956,yes,https://pubmed.ncbi.nlm.nih.gov/35051956
