Index,PubID,Result,Links
1,34707048,no,https://pubmed.ncbi.nlm.nih.gov/34707048
2,32398569,yes,https://pubmed.ncbi.nlm.nih.gov/32398569
3,37780871,no,https://pubmed.ncbi.nlm.nih.gov/37780871
4,32317601,no,https://pubmed.ncbi.nlm.nih.gov/32317601
5,33067060,maybe,https://pubmed.ncbi.nlm.nih.gov/33067060
6,32970368,no,https://pubmed.ncbi.nlm.nih.gov/32970368
7,31679201,no,https://pubmed.ncbi.nlm.nih.gov/31679201
8,31627214,yes,https://pubmed.ncbi.nlm.nih.gov/31627214
9,31804206,yes,https://pubmed.ncbi.nlm.nih.gov/31804206
10,34637995,yes,https://pubmed.ncbi.nlm.nih.gov/34637995
11,32730234,no,https://pubmed.ncbi.nlm.nih.gov/32730234
12,33256382,no,https://pubmed.ncbi.nlm.nih.gov/33256382
13,37363457,yes,https://pubmed.ncbi.nlm.nih.gov/37363457
14,33198954,no,https://pubmed.ncbi.nlm.nih.gov/33198954
15,33335817,no,https://pubmed.ncbi.nlm.nih.gov/33335817
16,32860649,yes,https://pubmed.ncbi.nlm.nih.gov/32860649
17,37529801,no,https://pubmed.ncbi.nlm.nih.gov/37529801
18,33505740,yes,https://pubmed.ncbi.nlm.nih.gov/33505740
19,33442654,yes,https://pubmed.ncbi.nlm.nih.gov/33442654
20,32825873,maybe,https://pubmed.ncbi.nlm.nih.gov/32825873
21,33815967,no,https://pubmed.ncbi.nlm.nih.gov/33815967
22,33043318,no,https://pubmed.ncbi.nlm.nih.gov/33043318
23,32591180,yes,https://pubmed.ncbi.nlm.nih.gov/32591180
24,34926047,yes,https://pubmed.ncbi.nlm.nih.gov/34926047
25,33230093,no,https://pubmed.ncbi.nlm.nih.gov/33230093
26,33647552,yes,https://pubmed.ncbi.nlm.nih.gov/33647552
27,34626477,yes,https://pubmed.ncbi.nlm.nih.gov/34626477
28,35712335,no,https://pubmed.ncbi.nlm.nih.gov/35712335
29,30242640,yes,https://pubmed.ncbi.nlm.nih.gov/30242640
30,32963897,no,https://pubmed.ncbi.nlm.nih.gov/32963897
31,37854527,no,https://pubmed.ncbi.nlm.nih.gov/37854527
32,32414522,no,https://pubmed.ncbi.nlm.nih.gov/32414522
33,32959497,yes,https://pubmed.ncbi.nlm.nih.gov/32959497
34,37899079,no,https://pubmed.ncbi.nlm.nih.gov/37899079
35,34256898,no,https://pubmed.ncbi.nlm.nih.gov/34256898
36,32354634,no,https://pubmed.ncbi.nlm.nih.gov/32354634
37,33315310,yes,https://pubmed.ncbi.nlm.nih.gov/33315310
38,37731425,no,https://pubmed.ncbi.nlm.nih.gov/37731425
39,34461005,yes,https://pubmed.ncbi.nlm.nih.gov/34461005
