pubId,Relevancy,Links
32398569,No,https://pubmed.ncbi.nlm.nih.gov/32398569
31491072,No,https://pubmed.ncbi.nlm.nih.gov/31491072
37780871,maybe,https://pubmed.ncbi.nlm.nih.gov/37780871
32317601,No,https://pubmed.ncbi.nlm.nih.gov/32317601
31033882,No,https://pubmed.ncbi.nlm.nih.gov/31033882
33067060,No,https://pubmed.ncbi.nlm.nih.gov/33067060
32970368,No,https://pubmed.ncbi.nlm.nih.gov/32970368
32586724,yes,https://pubmed.ncbi.nlm.nih.gov/32586724
31679201,No,https://pubmed.ncbi.nlm.nih.gov/31679201
34130236,No,https://pubmed.ncbi.nlm.nih.gov/34130236
31627214,No,https://pubmed.ncbi.nlm.nih.gov/31627214
31804206,No,https://pubmed.ncbi.nlm.nih.gov/31804206
34637995,maybe,https://pubmed.ncbi.nlm.nih.gov/34637995
32730234,No,https://pubmed.ncbi.nlm.nih.gov/32730234
32449972,No,https://pubmed.ncbi.nlm.nih.gov/32449972
32128062,No,https://pubmed.ncbi.nlm.nih.gov/32128062
34620968,maybe,https://pubmed.ncbi.nlm.nih.gov/34620968
33256382,maybe,https://pubmed.ncbi.nlm.nih.gov/33256382
37363457,No,https://pubmed.ncbi.nlm.nih.gov/37363457
33103720,No,https://pubmed.ncbi.nlm.nih.gov/33103720
33198954,No,https://pubmed.ncbi.nlm.nih.gov/33198954
35981365,No,https://pubmed.ncbi.nlm.nih.gov/35981365
31763461,No,https://pubmed.ncbi.nlm.nih.gov/31763461
33335817,No,https://pubmed.ncbi.nlm.nih.gov/33335817
37593533,No,https://pubmed.ncbi.nlm.nih.gov/37593533
32860649,No,https://pubmed.ncbi.nlm.nih.gov/32860649
37529801,No,https://pubmed.ncbi.nlm.nih.gov/37529801
33505740,No,https://pubmed.ncbi.nlm.nih.gov/33505740
33442654,yes,https://pubmed.ncbi.nlm.nih.gov/33442654
32825873,maybe,https://pubmed.ncbi.nlm.nih.gov/32825873
33815967,yes,https://pubmed.ncbi.nlm.nih.gov/33815967
33043318,No,https://pubmed.ncbi.nlm.nih.gov/33043318
32591180,No,https://pubmed.ncbi.nlm.nih.gov/32591180
34926047,No,https://pubmed.ncbi.nlm.nih.gov/34926047
32734863,No,https://pubmed.ncbi.nlm.nih.gov/32734863
32317402,No,https://pubmed.ncbi.nlm.nih.gov/32317402
33230093,No,https://pubmed.ncbi.nlm.nih.gov/33230093
30732704,No,https://pubmed.ncbi.nlm.nih.gov/30732704
33647552,No,https://pubmed.ncbi.nlm.nih.gov/33647552
34626477,No,https://pubmed.ncbi.nlm.nih.gov/34626477
35712335,No,https://pubmed.ncbi.nlm.nih.gov/35712335
30242640,No,https://pubmed.ncbi.nlm.nih.gov/30242640
37483750,No,https://pubmed.ncbi.nlm.nih.gov/37483750
32963897,No,https://pubmed.ncbi.nlm.nih.gov/32963897
37854527,No,https://pubmed.ncbi.nlm.nih.gov/37854527
32414522,No,https://pubmed.ncbi.nlm.nih.gov/32414522
32333431,yes,https://pubmed.ncbi.nlm.nih.gov/34903428
31863551,No,https://pubmed.ncbi.nlm.nih.gov/31863551
37899079,No,https://pubmed.ncbi.nlm.nih.gov/37899079
34256898,No,https://pubmed.ncbi.nlm.nih.gov/34256898
32149364,No,https://pubmed.ncbi.nlm.nih.gov/32149364
32354634,No,https://pubmed.ncbi.nlm.nih.gov/32354634
33315310,No,https://pubmed.ncbi.nlm.nih.gov/33315310
37731425,No,https://pubmed.ncbi.nlm.nih.gov/37731425
34461005,No,https://pubmed.ncbi.nlm.nih.gov/34461005
